Sitio	pH	Conductividad	Oxígeno
1	5.872700594236813	132.53202943404523	8.075448519014383
2	8.75357153204958	186.90900933179196	3.705241236872915
3	7.659969709057025	286.140394234507	2.650515929852795
4	6.993292420985183	244.3752583889521	11.488855372533333
5	4.780093202212183	181.05311308911885	11.656320330745594
6	4.779972601681013	325.33380262507075	10.08397348116461
7	4.290418060840997	112.77223729341883	5.046137691733707
8	8.330880728874675	181.46509184084817	2.9767211400638387
9	7.005575058716044	214.86282948216126	8.842330265121568
10	7.540362888980227	255.23149289766616	6.4015249373960135
11	4.102922471479012	403.3291826268561	3.2203823484477883
12	8.849549260809972	139.85320197126188	6.951769101112702
13	8.162213204002109	281.4054972861252	2.343885211152184
14	5.061695553391381	316.5865559879191	11.093204020787821
15	4.909124836035503	70.90268572399897	4.587799816000169
